p1 < 10**6: 10399   51991    True [0, 1]
p1 < 10**6: 10937   65617    True [0, 3]
p1 < 10**6: 11149   66889    True [2, 0]
p1 < 10**6: 11161   316201    True [1, 2]
p1 < 10**6: 11197   14929    True [2, 1]
p1 < 10**6: 11717   82013    True [2, 2]
p1 < 10**6: 12391   161071    True [0, 1]
p1 < 10**6: 12547   62731    True [1, 1]
p1 < 10**6: 12637   21061    True [2, 1]
p1 < 10**6: 12781   25561    True [2, 1]
p1 < 10**6: 13063   52249    True [0, 1]
p1 < 10**6: 13093   78553    True [2, 1]
p1 < 10**6: 13591   18121    True [0, 1]
p1 < 10**6: 13681   300961    True [3, 3]
p1 < 10**6: 14011   70051    True [1, 1]
p1 < 10**6: 14029   28057    True [2, 1]
p1 < 10**6: 14419   264331    True [1, 1]
p1 < 10**6: 14549   101837    True [2, 2]
p1 < 10**6: 14563   19417    True [1, 1]
p1 < 10**6: 15101   181201    True [2, 2]
p1 < 10**6: 15451   160681    True [1, 1]
p1 < 10**6: 15679   313561    True [0, 1]
p1 < 10**6: 15733   25309    True [2, 1]
p1 < 10**6: 15887   190633    True [0, 0]
p1 < 10**6: 15959   191497    True [0, 0]
p1 < 10**6: 16057   240841    True [2, 2]
p1 < 10**6: 16481   19777    True [4, 5]
p1 < 10**6: 17107   85531    True [1, 1]
p1 < 10**6: 17443   87211    True [1, 1]
p1 < 10**6: 17539   87691    True [1, 1]
p1 < 10**6: 17581   70321    True [2, 1]
p1 < 10**6: 17581   210961    True [2, 1]
p1 < 10**6: 17609   105649    True [1, 3]
p1 < 10**6: 18217   109297    True [2, 2]
p1 < 10**6: 18691   59809    True [1, 1]
p1 < 10**6: 19087   248119    True [0, 1]
p1 < 10**6: 19483   77929    True [1, 1]
p1 < 10**6: 19543   97711    True [0, 1]
p1 < 10**6: 19603   98011    True [1, 1]
p1 < 10**6: 19687   5767999    True [0, 1]
p1 < 10**6: 19759   177823    True [0, 1]
p1 < 10**6: 20231   34511    True [0, 0]
p1 < 10**6: 20551   119191    True [0, 1]
p1 < 10**6: 20749   809173    True [2, 0]
p1 < 10**6: 21313   724609    True [4, 4]
p1 < 10**6: 21661   43321    True [2, 0]
p1 < 10**6: 21727   260713    True [0, 1]
p1 < 10**6: 22051   110251    True [1, 1]
p1 < 10**6: 22129   44257    True [3, 3]
p1 < 10**6: 23203   30937    True [1, 1]
p1 < 10**6: 23609   141649    True [1, 3]
p1 < 10**6: 24061   48121    True [2, 1]
p1 < 10**6: 24169   48337    True [2, 0]
p1 < 10**6: 24907   39139    True [1, 1]
p1 < 10**6: 25951   103801    True [0, 1]
p1 < 10**6: 26041   316201    True [1, 2]
