[619, 2473]    True    [1, 1]
[829, 1657]    True    [2, 0]
[883, 3529]    True    [1, 1]
[929, 5569]    True    [4, 5]
[997, 1993]    True    [2, 1]
[1069, 2137]    True    [2, 1]
[1303, 5209]    True    [0, 1]
[1453, 11617]    True    [2, 0]
[1637, 9817]    True    [2, 2]
[1699, 6793]    True    [1, 1]
[1733, 31177]    True    [2, 2]
[1931, 6563]    True    [1, 0]
[1999, 7993]    True    [0, 1]
[2053, 25309]    True    [2, 1]
[2069, 49633]    True    [2, 2]
[2251, 11251]    True    [1, 1]
[2389, 11941]    True    [2, 1]
[2617, 5233]    True    [2, 2]
[3037, 9109]    True    [2, 1]
[3517, 17581]    True    [2, 1]
[3517, 70321]    True    [2, 1]
[3709, 7417]    True    [2, 1]
[3739, 59809]    True    [1, 1]
[3863, 50207]    True    [0, 0]
[4027, 68443]    True    [1, 1]
[4111, 119191]    True    [0, 1]
[4483, 17929]    True    [1, 1]
[4603, 23011]    True    [1, 1]
[4789, 25309]    True    [2, 1]
[5749, 11497]    True    [2, 0]
[5821, 145501]    True    [2, 0]
[6037, 36217]    True    [2, 1]
[6121, 12241]    True    [1, 2]
[6211, 24841]    True    [1, 1]
[6481, 15121]    True    [1, 3]
[7129, 23761]    True    [1, 2]
[7159, 121687]    True    [0, 1]
[7213, 79333]    True    [2, 1]
[7297, 14593]    True    [6, 6]
[7333, 21997]    True    [2, 0]
[7681, 15361]    True    [8, 7]
[8011, 264331]    True    [1, 1]
[8059, 32233]    True    [1, 1]
[8069, 48409]    True    [2, 2]
[8293, 24877]    True    [2, 1]
[8461, 16921]    True    [2, 1]
[8527, 68209]    True    [0, 1]
[8563, 385291]    True    [1, 1]
[8863, 35449]    True    [0, 1]
[8893, 25309]    True    [2, 1]
[9181, 27541]    True    [2, 1]
[9181, 100981]    True    [2, 1]
[9311, 67033]    True    [0, 0]
[9341, 457661]    True    [2, 2]
[9631, 192601]    True    [0, 1]
[10399, 51991]    True    [0, 1]
[10937, 65617]    True    [0, 3]
[11149, 66889]    True    [2, 0]
[11161, 316201]    True    [1, 2]
[11197, 14929]    True    [2, 1]
