[10399, 51991]    True [0, 1]
[10937, 65617]    True [0, 3]
[11149, 66889]    True [2, 0]
[11161, 316201]    True [1, 2]
[11197, 14929]    True [2, 1]
[11717, 82013]    True [2, 2]
[12391, 161071]    True [0, 1]
[12547, 62731]    True [1, 1]
[12637, 21061]    True [2, 1]
[12781, 25561]    True [2, 1]
[13063, 52249]    True [0, 1]
[13093, 78553]    True [2, 1]
[13591, 18121]    True [0, 1]
[13681, 300961]    True [3, 3]
[14011, 70051]    True [1, 1]
[14029, 28057]    True [2, 1]
[14419, 264331]    True [1, 1]
[14549, 101837]    True [2, 2]
[14563, 19417]    True [1, 1]
[15101, 181201]    True [2, 2]
[15451, 160681]    True [1, 1]
[15679, 313561]    True [0, 1]
[15733, 25309]    True [2, 1]
[15887, 190633]    True [0, 0]
[15959, 191497]    True [0, 0]
[16057, 240841]    True [2, 2]
[16481, 19777]    True [4, 5]
[17107, 85531]    True [1, 1]
[17443, 87211]    True [1, 1]
[17539, 87691]    True [1, 1]
[17581, 70321]    True [2, 1]
[17581, 210961]    True [2, 1]
[17609, 105649]    True [1, 3]
[18217, 109297]    True [2, 2]
[18691, 59809]    True [1, 1]
[19087, 248119]    True [0, 1]
[19483, 77929]    True [1, 1]
[19543, 97711]    True [0, 1]
[19603, 98011]    True [1, 1]
[19759, 177823]    True [0, 1]
[20231, 34511]    True [0, 0]
[20551, 119191]    True [0, 1]
[21661, 43321]    True [2, 0]
[21727, 260713]    True [0, 1]
[22051, 110251]    True [1, 1]
[22129, 44257]    True [3, 3]
[23203, 30937]    True [1, 1]
[23609, 141649]    True [1, 3]
[24061, 48121]    True [2, 1]
[24169, 48337]    True [2, 0]
[24907, 39139]    True [1, 1]
[25951, 103801]    True [0, 1]
[26041, 316201]    True [1, 2]
[26107, 130531]    True [1, 1]
[26309, 184157]    True [2, 2]
[26701, 160201]    True [2, 0]
[27397, 191773]    True [2, 0]
[27541, 100981]    True [2, 1]
[27631, 174991]    True [0, 1]
[27901, 37201]    True [2, 0]
[28621, 57241]    True [2, 1]
[29803, 149011]    True [1, 1]
[30403, 121609]    True [1, 1]
[30469, 60937]    True [2, 1]
[30757, 92269]    True [2, 0]
[31051, 44851]    True [1, 1]
[31177, 239017]    True [2, 2]
[32077, 64153]    True [2, 1]
[32203, 42937]    True [1, 1]
[32299, 36913]    True [1, 1]
[32779, 131113]    True [1, 1]
[32917, 164581]    True [2, 1]
[33301, 66601]    True [2, 1]
[33811, 135241]    True [1, 1]
[33997, 67993]    True [2, 1]
[34651, 110251]    True [1, 1]
[34673, 72497]    True [3, 4]
[34687, 173431]    True [0, 1]
[34729, 69457]    True [2, 2]
[35311, 192601]    True [0, 1]
[35731, 92899]    True [1, 1]
[36191, 86857]    True [0, 0]
[36241, 72481]    True [3, 3]
[36373, 218233]    True [2, 0]
[36877, 110629]    True [2, 0]
[37159, 50671]    True [0, 1]
[37159, 148633]    True [0, 1]
[37571, 72251]    True [1, 0]
[37963, 151849]    True [1, 1]
[38053, 253681]    True [2, 0]
[38677, 70321]    True [2, 1]
[38791, 142231]    True [0, 1]
[39019, 105907]    True [1, 1]
[39293, 49633]    True [2, 2]
[41143, 164569]    True [0, 1]
[41863, 209311]    True [0, 1]
[41941, 125821]    True [2, 0]
[42373, 169489]    True [2, 1]
[42703, 170809]    True [0, 1]
[42967, 114577]    True [0, 1]
[45061, 90121]    True [2, 1]
[46819, 187273]    True [1, 1]
[47251, 110251]    True [1, 1]
[52861, 158581]    True [2, 0]
[52903, 70537]    True [0, 1]
[52957, 105913]    True [2, 0]
[54101, 64921]    True [2, 2]
[56041, 84061]    True [2, 0]
[59621, 97561]    True [2, 2]
[60607, 80809]    True [0, 1]
[61223, 104953]    True [0, 0]
[61381, 102301]    True [2, 0]
[62921, 91961]    True [2, 3]
[62981, 75577]    True [2, 2]
[64451, 154681]    True [1, 0]
[64693, 86257]    True [2, 1]
[66301, 79561]    True [2, 1]
[70141, 140281]    True [2, 0]
[70621, 141241]    True [2, 0]
[73693, 98257]    True [2, 0]
[78163, 122827]    True [1, 1]
[80147, 87433]    True [1, 0]
[83791, 111721]    True [0, 1]
